IndCode,Indicator (EN),Indicateur (FR)
EmpOccSklLv3,Total people employed in occupations at high skill level (Level 3-4),Nombre total de personnes employées dans des professions à niveau de compétence élevé (niveau 3-4)
EmpOccSklNEC,Total people employed in occupations at skill levels not elsewhere classified,Nombre total de personnes employées dans des professions à niveaux de compétence non classés ailleurs
EmpOccSklTot,Total people employed in occupations at all skill levels,Nombre total de personnes employées dans des professions à tous les niveaux de compétence
EmpOccElemntPct,Percentage of employees working in elementary occupations,Pourcentage d’employés travaillant dans des emplois élémentaires
EmpOccArmedFPct,Percentage of employees in armed forces occupations,Pourcentage d’employés dans les forces armées
EmpOccNECPct,Percentage of employees working in occupations not elsewhere classified,Pourcentage d’employés travaillant dans des professions non classées ailleurs
EmpOccLegManPct,"Percentage of employees working as legislators, senior officials and managers","Pourcentage d’employés travaillant comme législateurs, hauts fonctionnaires et cadres"
EmpOccProfnlPct,Percentage of employees working as professionals,Pourcentage d'employés travaillant en tant que professionnels
EmpOccTechnsPct,Percentage of employees working as technicians and associate professionals,Pourcentage d'employés travaillant comme techniciens et professionnels associés
EmpOccClerksPct,Percentage of employees working as clerks,Pourcentage d’employés travaillant comme employés de bureau
EmpOccSrvSalPct,Percentage of employees working as service and sales workers,Pourcentage d'employés travaillant en tant qu'employés de service et comme vendeurs dans les magasins et les marchés
EmpOccSklAgrPct,Percentage of employees working as skilled agricultural and fishery workers,Pourcentage d’employés travaillant comme travailleurs agricoles et de la pêche qualifiés
EmpOccCrftTdPct,Percentage of employees working as craft and related trades workers,Pourcentage de salariés exerçant une activité artisanale et des métiers connexes
EmpOccPltMchPct,"Percentage of employees working as plant and machine operators, and assemblers","Pourcentage d'employés travaillant comme opérateurs et assembleurs d'installations, et de machines"
EmpOccSklLv1Pct,Percentage of employees working in occupations at low skill level (Level 1),Pourcentage d'employés exerçant des professions à niveau de compétences faibles (niveau 1)
EmpOccSklLv2Pct,Percentage of employees working in occupations at medium skill level (Level 2),Pourcentage d'employés exerçant des professions à niveau de compétence intermédiaire (niveau 2)
EmpOccSklLv3Pct,Percentage of employees working in occupations at high skill level (Level 3-4),Pourcentage d'employés travaillant dans des professions à niveau de compétence élevé (niveau 3-4)
EmpOccSklNECPct,Percentage of employees working in occupations at skill levels not elsewhere classified,Pourcentage d’employés travaillant dans des professions à niveaux de compétence non classés ailleurs
SklLowOccAgFr,"Number of workers with low skill in agriculture, forestry and fishing","Nombre de travailleurs peu qualifiés dans l'agriculture, la foresterie et la pêche"
SklLowOccMnQr,Number of workers with low skill in mining and quarrying,Nombre de travailleurs peu qualifiés dans les mines et carrières
SklLowOccManu,Number of workers with low skill in manufacturing,Nombre de travailleurs peu qualifiés dans le secteur manufacturier
SklLowOccElGs,"Number of workers with low skill in electricity, gas, heating and cooling","Nombre de travailleurs peu qualifiés dans les domaines de l'électricité, du gaz, du chauffage et du refroidissement"
SklLowOccWtSw,"Number of workers with low skill in water supply, waste management",Nombre de travailleurs peu qualifiés dans l'approvisionnement en eau et la gestion des déchets
SklLowOccCnst,Number of workers with low skill in construction,Nombre de travailleurs peu qualifiés dans la construction
SklLowOccWhRt,"Number of workers with low skill in wholesale and retail trade, MV repair","Nombre de travailleurs peu qualifiés dans le commerce de gros et de détail, réparation de véhicules à moteur"
SklLowOccTrSt,Number of workers with low skill in transportation and storage,Nombre de travailleurs peu qualifiés en transport et entreposage
SklLowOccAcFd,Number of workers with low skill in accommodation and food services,Nombre de travailleurs peu qualifiés dans les services d'hébergement et de restauration
SklLowOccICTs,Number of workers with low skill in information and communication,Nombre de travailleurs peu qualifiés en information et communication
SklLowOccFnIn,Number of workers with low skill in finance and insurances,Nombre de travailleurs peu qualifiés en finance et assurances
SklLowOccRlEs,Number of workers with low skill in real estate activities,Nombre de travailleurs peu qualifiés dans les activités immobilières
SklLowOccPrSc,"Number of workers with low skill in professional, scientific and technical","Nombre de travailleurs peu qualifiés dans les domaines professionnel, scientifique et technique"
SklLowOccAdSp,Number of workers with low skill in administrative and support,Nombre de travailleurs peu qualifiés en matière d'administration et de soutien
SklLowOccPbSS,"Number of workers with low skill in public administration, defence, and social security","Nombre de travailleurs peu qualifiés dans l'administration publique, la défense et la sécurité sociale"
SklLowOccEduc,Number of workers with low skill in education,Nombre de travailleurs peu qualifiés en matière d'éducation
SklLowOccHlSc,Number of workers with low skill in health and social work,Nombre de travailleurs peu qualifiés dans les domaines de la santé et du travail social
SklLowOccArEn,"Number of workers with low skill in arts, entertainment and recreation","Nombre de travailleurs peu qualifiés dans les domaines des arts, du divertissement et des loisirs"
SklLowOccOthr,Number of workers with low skill in other services,Nombre de travailleurs peu qualifiés dans d'autres services
SklLowOccHHDS,Number of workers with low skill in households,Nombre de travailleurs peu qualifiés dans les ménages
SklLowOccExTr,Number of workers with low skill in extraterritorial organisations and bodies,Nombre de travailleurs peu qualifiés dans les organisations et organismes extraterritoriaux
SklLowOccTotl,Number of workers with low skill in all activities,Nombre de travailleurs peu qualifiés dans toutes les activités
SklLowOccNECL,Number of workers with low skill in activities not elsewhere classified,Nombre de travailleurs low qualifiés non classés ailleurs
SklMedOccAgFr,"Number of workers with medium skill in agriculture, forestry and fishing","Nombre de travailleurs moyennement qualifiés dans l'agriculture, la foresterie et la pêche"
SklMedOccMnQr,Number of workers with medium skill in mining and quarrying,Nombre de travailleurs moyennement qualifiés dans les mines et carrières
SklMedOccManu,Number of workers with medium skill in manufacturing,Nombre de travailleurs moyennement qualifiés dans le secteur manufacturier
SklMedOccElGs,"Number of workers with medium skill in electricity, gas, heating and cooling","Nombre de travailleurs moyennement qualifiés dans les domaines de l'électricité, du gaz, du chauffage et du refroidissement"
SklMedOccWtSw,"Number of workers with medium skill in water supply, waste management",Nombre de travailleurs moyennement qualifiés dans l'approvisionnement en eau et la gestion des déchets
SklMedOccCnst,Number of workers with medium skill in construction,Nombre de travailleurs moyennement qualifiés dans la construction
SklMedOccWhRt,"Number of workers with medium skill in wholesale and retail trade, MV repair","Nombre de travailleurs moyennement qualifiés dans le commerce de gros et de détail, réparation de véhicules à moteur"
SklMedOccTrSt,Number of workers with medium skill in transportation and storage,Nombre de travailleurs moyennement qualifiés en transport et entreposage
SklMedOccAcFd,Number of workers with medium skill in accommodation and food services,Nombre de travailleurs moyennement qualifiés dans les services d'hébergement et de restauration
SklMedOccICTs,Number of workers with medium skill in information and communication,Nombre de travailleurs moyennement qualifiés en information et communication
SklMedOccFnIn,Number of workers with medium skill in finance and insurances,Nombre de travailleurs moyennement qualifiés en finance et assurances
SklMedOccRlEs,Number of workers with medium skill in real estate activities,Nombre de travailleurs moyennement qualifiés dans les activités immobilières
SklMedOccPrSc,"Number of workers with medium skill in professional, scientific and technical","Nombre de travailleurs moyennement qualifiés dans les domaines professionnel, scientifique et technique"
SklMedOccAdSp,Number of workers with medium skill in administrative and support,Nombre de travailleurs ayant des compétences moyennes en administration et en soutien
SklMedOccPbSS,"Number of workers with medium skill in public administration, defence, and social security","Nombre de travailleurs moyennement qualifiés dans l'administration publique, la défense et la sécurité sociale"
SklMedOccEduc,Number of workers with medium skill in education,Nombre de travailleurs moyennement qualifiés en éducation
SklMedOccHlSc,Number of workers with medium skill in health and social work,Nombre de travailleurs moyennement qualifiés dans le domaine de la santé et du travail social
SklMedOccArEn,"Number of workers with medium skill in arts, entertainment and recreation","Nombre de travailleurs moyennement qualifiés dans les arts, le divertissement et les loisirs"
SklMedOccOthr,Number of workers with medium skill in other services,Nombre de travailleurs moyennement qualifiés dans d'autres services
SklMedOccHHDS,Number of workers with medium skill in households,Nombre de travailleurs moyennement qualifiés dans les ménages
SklMedOccExTr,Number of workers with medium skill in extraterritorial organisations and bodies,Nombre de travailleurs moyennement qualifiés dans les organisations et organismes extraterritoriaux
SklMedOccTotl,Number of workers with medium skill in all activities,Nombre de travailleurs moyennement qualifiés dans toutes les activités
SklMedOccNECL,Number of workers with medium skill in activities not elsewhere classified,Nombre de travailleurs moyennement qualifiés non classés ailleurs
SklHghOccAgFr,"Number of workers with high skill in agriculture, forestry and fishing","Nombre de travailleurs hautement qualifiés dans les domaines de l'agriculture, de la foresterie et de la pêche"
SklHghOccMnQr,Number of workers with high skill in mining and quarrying,Nombre de travailleurs hautement qualifiés dans les mines et carrières
SklHghOccManu,Number of workers with high skill in manufacturing,Nombre de travailleurs hautement qualifiés dans le secteur manufacturier
SklHghOccElGs,"Number of workers with high skill in electricity, gas, heating and cooling","Nombre de travailleurs hautement qualifiés dans les domaines de l'électricité, du gaz, du chauffage et du refroidissement"
SklHghOccWtSw,"Number of workers with high skill in water supply, waste management",Nombre de travailleurs hautement qualifiés dans l'approvisionnement en eau et la gestion des déchets
SklHghOccCnst,Number of workers with high skill in construction,Nombre de travailleurs hautement qualifiés dans la construction
SklHghOccWhRt,"Number of workers with high skill in wholesale and retail trade, MV repair","Nombre de travailleurs hautement qualifiés dans le commerce de gros et de détail, la réparation de véhicules à moteur"
SklHghOccTrSt,Number of workers with high skill in transportation and storage,Nombre de travailleurs hautement qualifiés en transport et entreposage
SklHghOccAcFd,Number of workers with high skill in accommodation and food services,Nombre de travailleurs hautement qualifiés dans les services d'hébergement et de restauration
SklHghOccICTs,Number of workers with high skill in information and communication,Nombre de travailleurs hautement qualifiés en information et communication
SklHghOccFnIn,Number of workers with high skill in finance and insurances,Nombre de travailleurs hautement qualifiés en finance et assurances
SklHghOccRlEs,Number of workers with high skill in real estate activities,Nombre de travailleurs hautement qualifiés dans les activités immobilières
SklHghOccPrSc,"Number of workers with high skill in professional, scientific and technical","Nombre de travailleurs hautement qualifiés dans les domaines professionnel, scientifique et technique"
SklHghOccAdSp,Number of workers with high skill in administrative and support,Nombre de travailleurs hautement qualifiés en matière d'administration et de soutien
SklHghOccPbSS,"Number of workers with high skill in public administration, defence, and social security","Nombre de travailleurs hautement qualifiés dans l'administration publique, la défense et la sécurité sociale"
SklHghOccEduc,Number of workers with high skill in education,Nombre de travailleurs hautement qualifiés en éducation
SklHghOccHlSc,Number of workers with high skill in health and social work,Nombre de travailleurs hautement qualifiés dans les domaines de la santé et du travail social
SklHghOccArEn,"Number of workers with high skill in arts, entertainment and recreation","Nombre de travailleurs hautement qualifiés dans les domaines de l'art, du divertissement et des loisirs"
SklHghOccOthr,Number of workers with high skill in other services,Nombre de travailleurs hautement qualifiés dans d'autres services
SklHghOccHHDS,Number of workers with high skill in households,Nombre de travailleurs hautement qualifiés dans les ménages
SklHghOccExTr,Number of workers with high skill in extraterritorial organisations and bodies,Nombre de travailleurs hautement qualifiés dans les organisations et organismes extraterritoriaux
SklHghOccTotl,Number of workers with high skill in all activities,Nombre de travailleurs hautement qualifiés dans toutes les activités
SklHghOccNECL,Number of workers with high skill in activities not elsewhere classified,Nombre de travailleurs hautement qualifiés non classés ailleurs
EduMMAllMtcFemPct,Percentage of workers with education matching occupation requirements - females,Pourcentage de travailleurs dont la formation correspond aux exigences de l’emploi - femmes
EduMMAllMtcMalPct,Percentage of workers with education matching occupation requirements - males,Pourcentage de travailleurs dont la formation correspond aux exigences de l’emploi - hommes
EduMMAllMtcTotPct,Percentage of workers with education matching occupation requirements - both sexes,Pourcentage de travailleurs dont la formation correspond aux exigences de l’emploi - les deux sexes
EduMMAllOvrFemPct,Percentage of workers with education above occupation requirements - females,Pourcentage de travailleurs dont la formation dépasse les exigences de l’emploi - femmes
EduMMAllOvrMalPct,Percentage of workers with education above occupation requirements - males,Pourcentage de travailleurs dont la formation dépasse les exigences de l’emploi - hommes
EduMMAllOvrTotPct,Percentage of workers with education above occupation requirements - both sexes,Pourcentage de travailleurs dont la formation dépasse les exigences de l’emploi - les deux sexes
EduMMAllUndFemPct,Percentage of workers with education under occupation requirements - females,Pourcentage de travailleurs dont la formation est inférieure aux exigences de l’emploi - femmes
EduMMAllUndMalPct,Percentage of workers with education under occupation requirements - males,Pourcentage de travailleurs dont la formation est inférieure aux exigences de l’emploi - hommes
EduMMAllUndTotPct,Percentage of workers with education under occupation requirements - both sexes,Pourcentage de travailleurs dont la formation est inférieure aux exigences de l’emploi - les deux sexes
EduMMEmpMtcFemPct,Percentage of employees with education matching occupation requirements - females,Pourcentage d’employés dont la formation correspond aux exigences de l’emploi - femmes
EduMMEmpMtcMalPct,Percentage of employees with education matching occupation requirements - males,Pourcentage d’employés dont la formation correspond aux exigences de l’emploi - hommes
EduMMEmpMtcTotPct,Percentage of employees with education matching occupation requirements - both sexes,Pourcentage d’employés dont la formation correspond aux exigences de l’emploi - les deux sexes
EduMMEmpOvrFemPct,Percentage of employees with education above occupation requirements - females,Pourcentage d’employés dont la formation dépasse les exigences de l’emploi - femmes
EduMMEmpOvrMalPct,Percentage of employees with education above occupation requirements - males,Pourcentage d’employés dont la formation dépasse les exigences de l’emploi - hommes
EduMMEmpOvrTotPct,Percentage of employees with education above occupation requirements - both sexes,Pourcentage d’employés dont la formation dépasse les exigences de l’emploi - les deux sexes
EduMMEmpUndFemPct,Percentage of employees with education under occupation requirements - females,Pourcentage d’employés dont la formation est inférieure aux exigences de l’emploi - femmes
EduMMEmpUndMalPct,Percentage of employees with education under occupation requirements - males,Pourcentage d’employés dont la formation est inférieure aux exigences de l’emploi - hommes
EduMMEmpUndTotPct,Percentage of employees with education under occupation requirements - both sexes,Pourcentage d’employés dont la formation est inférieure aux exigences de l’emploi - les deux sexes
EduMMSlfMtcFemPct,Percentage of self-employed workers with education matching occupation requirements - females,Pourcentage de travailleurs indépendants dont la formation correspond aux exigences de l’emploi - femmes
EduMMSlfMtcMalPct,Percentage of self-employed workers with education matching occupation requirements - males,Pourcentage de travailleurs indépendants dont la formation correspond aux exigences de l’emploi - hommes
EduMMSlfMtcTotPct,Percentage of self-employed workers with education matching occupation requirements - both sexes,Pourcentage de travailleurs indépendants dont la formation correspond aux exigences de l’emploi - les deux sexes
EduMMSlfOvrFemPct,Percentage of self-employed workers with education above occupation requirements - females,Pourcentage de travailleurs indépendants dont la formation dépasse les exigences de l’emploi - femmes
EduMMSlfOvrMalPct,Percentage of self-employed workers with education above occupation requirements - males,Pourcentage de travailleurs indépendants dont la formation dépasse les exigences de l’emploi - hommes
EduMMSlfOvrTotPct,Percentage of self-employed workers with education above occupation requirements - both sexes,Pourcentage de travailleurs indépendants dont la formation dépasse les exigences de l’emploi - les deux sexes
EduMMSlfUndFemPct,Percentage of self-employed workers with education under occupation requirements - females,Pourcentage de travailleurs indépendants dont la formation est inférieure aux exigences de l’emploi - femmes
EduMMSlfUndMalPct,Percentage of self-employed workers with education under occupation requirements - males,Pourcentage de travailleurs indépendants dont la formation est inférieure aux exigences de l’emploi - hommes
EduMMSlfUndTotPct,Percentage of self-employed workers with education under occupation requirements - both sexes,Pourcentage de travailleurs indépendants dont la formation est inférieure aux exigences de l’emploi - les deux sexes
YrsSch2024,"Mean years of education, people aged 20-24","Nombre moyen d'années d'études, personnes âgées de 20 à 24 ans"
YrsSch2024Men,"Mean years of education, men aged 20-24","Nombre moyen d'années d'études, hommes âgés de 20 à 24 ans"
YrsSch2024Fem,"Mean years of education, women aged 20-24","Nombre moyen d'années d'études, femmes âgées de 20 à 24 ans"
YrsSch2024Rur,"Mean years of education, people aged 20-24, rural","Nombre moyen d'années d'études, personnes âgées de 20 à 24 ans, en zone rurale"
YrsSch2024Urb,"Mean years of education, people aged 20-24, urban","Nombre moyen d'années d'études, personnes âgées de 20 à 24 ans, en zone urbaine"
LrnAchLwScMth,Percentage of adolescents in lower secondary school achieving math proficiency,Pourcentage d'adolescents du premier cycle de l'enseignement secondaire maîtrisant les mathématiques
LrnAchLwScMthMal,"Percentage of adolescents in lower secondary school achieving math proficiency, males","Pourcentage d'adolescents du premier cycle de l'enseignement secondaire maîtrisant les mathématiques, hommes"
LrnAchLwScMthFem,"Percentage of adolescents in lower secondary school achieving math proficiency, females","Pourcentage d'adolescents du premier cycle de l'enseignement secondaire maîtrisant les mathématiques, femmes"
LrnAchLwScMthRur,"Percentage of adolescents in lower secondary school achieving math proficiency, rural","Pourcentage d'adolescents du premier cycle de l'enseignement secondaire maîtrisant les mathématiques, en zone rurale"
LrnAchLwScMthUrb,"Percentage of adolescents in lower secondary school achieving math proficiency, urban","Pourcentage d'adolescents du premier cycle de l'enseignement secondaire maîtrisant les mathématiques, en zone urbaine"
LrnAchLwScRdg,Percentage of adolescents in lower secondary school achieving reading proficiency,Pourcentage d'adolescents du premier cycle de l'enseignement secondaire maîtrisant la lecture
LrnAchLwScRdgMal,"Percentage of adolescents in lower secondary school achieving reading proficiency, males","Pourcentage d'adolescents du premier cycle de l'enseignement secondaire maîtrisant la lecture, hommes"
LrnAchLwScRdgFem,"Percentage of adolescents in lower secondary school achieving reading proficiency, females","Pourcentage d'adolescents du premier cycle de l'enseignement secondaire maîtrisant la lecture, femmes"
LrnAchLwScRdgRur,"Percentage of adolescents in lower secondary school achieving reading proficiency, rural","Pourcentage d'adolescents du premier cycle de l'enseignement secondaire maîtrisant la lecture, en zone rurale"
LrnAchLwScRdgUrb,"Percentage of adolescents in lower secondary school achieving reading proficiency, urban","Pourcentage d'adolescents du premier cycle de l'enseignement secondaire maîtrisant la lecture, en zone urbaine"
LrnAchUpScMth,Percentage of adolescents in upper secondary school achieving math proficiency,Pourcentage d'adolescents du deuxième cycle de l'enseignement secondaire maîtrisant les mathématiques
LrnAchUpScRdg,Percentage of adolescents in upper secondary school achieving reading proficiency,Pourcentage d'adolescents du deuxième cycle de l'enseignement secondaire maîtrisant la lecture
LrnAchUpScMthMal,"Percentage of adolescents in upper secondary school achieving math proficiency, males","Pourcentage d'adolescents du deuxième cycle de l'enseignement secondaire maîtrisant les mathématiques, hommes"
LrnAchUpScRdgMal,"Percentage of adolescents in upper secondary school achieving reading proficiency, males","Pourcentage d'adolescents du deuxième cycle de l'enseignement secondaire maîtrisant la lecture, hommes"
LrnAchUpScMthFem,"Percentage of adolescents in upper secondary school achieving math proficiency, females","Pourcentage d'adolescents du deuxième cycle de l'enseignement secondaire maîtrisant les mathématiques, femmes"
LrnAchUpScRdgFem,"Percentage of adolescents in upper secondary school achieving reading proficiency, females","Pourcentage d'adolescents du deuxième cycle de l'enseignement secondaire maîtrisant la lecture, femmes"
LrnAchUpScMthRur,"Percentage of adolescents in upper secondary school achieving math proficiency, rural","Pourcentage d'adolescents du deuxième cycle de l'enseignement secondaire maîtrisant les mathématiques, en zone rurale"
LrnAchUpScRdgRur,"Percentage of adolescents in upper secondary school achieving reading proficiency, rural","Pourcentage d'adolescents du deuxième cycle de l'enseignement secondaire maîtrisant la lecture, en zone rurale"
LrnAchUpScMthUrb,"Percentage of adolescents in upper secondary school achieving math proficiency, urban","Pourcentage d'adolescents du deuxième cycle de l'enseignement secondaire maîtrisant les mathématiques, en zone urbaine"
LrnAchUpScRdgUrb,"Percentage of adolescents in upper secondary school achieving reading proficiency, urban","Pourcentage d'adolescents du deuxième cycle de l'enseignement secondaire maîtrisant la lecture, en zone urbaine"
EmigAURgEduNnTt,"Emigrants within same AUC region aged 15+, no tertiary education","Émigrants de la même région de la CUA âgés de 15 ans et plus, n'ayant pas fait d'études supérieures"
EmigAURgEduTert,"Emigrants within same AUC region aged 15+, with tertiary education","Émigrants de la même région de la CUA âgés de 15 ans et plus, ayant fait des études supérieures"
EmigContEduNnTt,"Emigrants within same continent aged 15+, no tertiary education","Émigrants au sein du même continent âgés de 15 ans et plus, n'ayant pas fait d'études supérieures"
EmigContEduTert,"Emigrants within same continent aged 15+, with tertiary education","Émigrants au sein du même continent âgés de 15 ans et plus, ayant fait des études supérieures"
EmigExCtEduNnTt,"Emigrants outside continent aged 15+, no tertiary education","Émigrants hors continent âgés de 15 ans et plus, n'ayant pas fait d'études supérieures"
EmigExCtEduTert,"Emigrants outside continent aged 15+, with tertiary education","Émigrants hors continent âgés de 15 ans et plus, ayant fait des études supérieures"
ImmigAURgEduNnTt,"Immigrants from same AUC region aged 15+, no tertiary education","Immigrants de la même région de la CUA âgés de 15 ans et plus, n'ayant pas fait d'études supérieures"
ImmigAURgEduTert,"Immigrants from same AUC region aged 15+, with tertiary education","Immigrants de la même région de la CUA âgés de 15 ans et plus, ayant fait des études supérieures"
ImmigContEduNnTt,"Immigrants from same continent aged 15+, no tertiary education","Immigrants du même continent âgés de 15 ans et plus, n'ayant pas fait d'études supérieures"
ImmigContEduTert,"Immigrants from same continent aged 15+, with tertiary education","Immigrants du même continent âgés de 15 ans et plus, ayant fait des études supérieures"
ImmigExCtEduNnTt,"Immigrants from outside continent aged 15+, no tertiary education","Immigrants hors continent âgés de 15 ans et plus, n'ayant pas fait d'études supérieures"
ImmigExCtEduTert,"Immigrants from outside continent aged 15+, with tertiary education","Immigrants hors continent âgés de 15 ans et plus, ayant fait des études supérieures"
EmigAURgEduNnTt10YrInc,"Ten-year increase in emigrants within same AUC region aged 15+, no tertiary education","Augmentation sur dix ans du nombre d'émigrants au sein de la même région de la CUA âgés de 15 ans et plus, n'ayant pas fait d'études supérieures"
EmigAURgEduTert10YrInc,"Ten-year increase in emigrants within same AUC region aged 15+, with tertiary education","Augmentation sur dix ans du nombre d'émigrants au sein de la même région de la CUA âgés de 15 ans et plus, ayant fait des études supérieures"
EmigContEduNnTt10YrInc,"Ten-year increase in emigrants within same continent aged 15+, no tertiary education","Augmentation sur dix ans du nombre d'émigrants au sein d'un même continent âgés de 15 ans et plus, n'ayant pas fait d'études supérieures"
EmigContEduTert10YrInc,"Ten-year increase in emigrants within same continent aged 15+, with tertiary education","Augmentation sur dix ans du nombre d'émigrants au sein d'un même continent âgés de 15 ans et plus, ayant fait des études supérieures"
EmigExCtEduNnTt10YrInc,"Ten-year increase in emigrants outside continent aged 15+, no tertiary education","Augmentation sur dix ans des émigrants hors continent âgés de 15 ans et plus, n'ayant pas fait d'études supérieures"
EmigExCtEduTert10YrInc,"Ten-year increase in emigrants outside continent aged 15+, with tertiary education","Augmentation sur dix ans du nombre d’émigrants hors continent âgés de 15 ans et plus, ayant fait des études supérieures"
ImmigAURgEduNnTt10YrInc,"Ten-year increase in immigrants from same AUC region aged 15+, no tertiary education","Augmentation sur dix ans du nombre d'immigrants de la même région de la CUA âgés de 15 ans et plus, n'ayant pas fait d'études supérieures"
ImmigAURgEduTert10YrInc,"Ten-year increase in immigrants from same AUC region aged 15+, with tertiary education","Augmentation sur dix ans du nombre d'immigrants de la même région de la CUA âgés de 15 ans et plus, ayant fait des études supérieures"
ImmigContEduNnTt10YrInc,"Ten-year increase in immigrants from same continent aged 15+, no tertiary education","Augmentation sur dix ans du nombre d'immigrés du même continent âgés de 15 ans et plus, n'ayant pas fait d'études supérieures"
ImmigContEduTert10YrInc,"Ten-year increase in immigrants from same continent aged 15+, with tertiary education","Augmentation sur dix ans du nombre d'immigrants du même continent âgés de 15 ans et plus, ayant fait des études supérieures"
ImmigExCtEduNnTt10YrInc,"Ten-year increase in immigrants from outside continent aged 15+, no tertiary education","Augmentation sur dix ans du nombre d'immigrés hors continent âgés de 15 ans et plus, n'ayant pas fait d'études supérieures"
ImmigExCtEduTert10YrInc,"Ten-year increase in immigrants from outside continent aged 15+, with tertiary education","Augmentation sur dix ans du nombre d’immigrés hors continent âgés de 15 ans et plus, ayant fait des études supérieures"
WittMedUnder15,"Population aged under 15, Medium Scenario (SSP2)","Population âgée de moins de 15 ans, Scénario moyen (SSP2)"
WittMedLowEd15PL,Percentage of population 15+ with less than primary education (medium scenario),Pourcentage de la population de 15 ans et plus n'ayant pas atteint le niveau primaire (scénario moyen)
WittMedPrim15PL,Percentage of population 15+ with primary but not secondary education (medium scenario),Pourcentage de la population de 15 ans et plus ayant une éducation primaire mais pas secondaire (scénario moyen)
WittMedScndPL15PL,Percentage of population 15+ with at least secondary education (medium scenario),Pourcentage de la population de 15 ans et plus ayant au moins une éducation secondaire (scénario moyen)
WittMedAllEd15PL,"Total population 15+, Medium Scenario (SSP2)","Population totale 15+, Scénario moyen (SSP2)"
WittMedTotalPop,"Total population, Medium Scenario (SSP2)","Population totale, Scénario moyen (SSP2)"
WittAcclUnder15,"Population aged under 15, Rapid Development (SSP1)","Population âgée de moins de 15 ans, Développement rapide (SSP1)"
WittAcclLowEd15PL,Percentage of population 15+ with less than primary education (accelerated scenario),Pourcentage de la population âgée de 15 ans et plus n'ayant pas terminé l'enseignement primaire (scénario accéléré)
WittAcclPrim15PL,Percentage of population 15+ with primary but not secondary education (accelerated scenario),Pourcentage de la population âgée de 15 ans et plus ayant une éducation primaire mais pas secondaire (scénario accéléré)
WittAcclScndPL15PL,Percentage of population 15+ with at least secondary education (accelerated scenario),Pourcentage de la population âgée de 15 ans et plus ayant au moins une éducation secondaire (scénario accéléré)
WittAcclAllEd15PL,"Total population 15+, Rapid Development (SSP1)","Population totale 15+, Développement rapide (SSP1)"
WittAcclTotalPop,"Total population, Rapid Development (SSP1)","Population totale, Développement rapide (SSP1)"
WittMedLowEd1529,Percentage of population aged 15-29 with less than primary education (medium scenario),Population âgée de 15 à 29 ans n'ayant pas atteint le niveau primaire (scénario moyen)
WittMedPrim1529,Percentage of population aged 15-29 with primary but not secondary education (medium scenario),Population âgée de 15 à 29 ans ayant une éducation primaire mais pas secondaire (scénario moyen)
WittMedScndPL1529,Percentage of population aged 15-29 with at least secondary education (medium scenario),Population âgée de 15 à 29 ans ayant au moins une éducation secondaire (scénario moyen)
WittMedAllEd1529,"Total population aged 15-29, Medium Scenario (SSP2)","Population totale âgée de 15-29 ans, Scénario moyen (SSP2)"
WittMedAllEd30PL,"Total population 30+, Medium Scenario (SSP2)","Population totale 30+, Scénario moyen (SSP2)"
WittAcclLowEd1529,Percentage of population aged 15-29 with less than primary education (accelerated scenario),Population âgée de 15 à 29 ans n'ayant pas atteint le niveau primaire (scénario accéléré)
WittAcclPrim1529,Percentage of population aged 15-29 with primary but not secondary education (accelerated scenario),Population âgée de 15 à 29 ans ayant une éducation primaire mais pas secondaire (scénario accéléré)
WittAcclScndPL1529,Percentage of population aged 15-29 with at least secondary education (accelerated scenario),Population âgée de 15 à 29 ans ayant au moins une éducation secondaire (scénario accéléré)
WittAcclAllEd1529,"Total population aged 15-29, Rapid Development (SSP1)","Population totale âgée de 15-29 ans, Développement rapide (SSP1)"
WittAcclAllEd30PL,"Total population 30+, Rapid Development (SSP1)","Population totale 30+, Développement rapide (SSP1)"
PPPPC,GDP in purchasing power parity (PPP) dollars per capita,PIB en parité de pouvoir d'achat (PPA) en dollars US par habitant
VulnEmps,Total workers aged 15+ in vulnerable employment,Total des travailleurs âgés de 15 ans et plus ayant un emploi vulnérable
IntntSubsPer100,Fixed(wired)-broadband subscriptions per 100 inhabitants,Abonnements Internet à haut débit fixe
IntntUsePct,Percentage of the population using the Internet,Pourcentage de la population utilisant l'Internet
MobileSubsPer100,Mobile-cellular telephone subscriptions per 100 inhabitants,Abonnements téléphone mobile et cellulaire par 100 habitants
PhoneSubsPer100,Fixed-telephone subscriptions per 100 inhabitants,Abonnements téléphone fixe par 100 habitants
MobBBSubsPer100,Mobile-broadband subscriptions per 100 inhabitants,Abonnements haut débit mobile pour 100 habitants
IntlBBSpeedMBits,"International bandwidth, in megabytes per second","Bande passante internationale, en mégaoctets par seconde"
GSMA4GCov,Percentage of inhabitants that live within 4G mobile technology coverage,Pourcentage d'habitants vivant dans une zone couverte par la technologie mobile 4G
IntntAccss,Access to internet (% of population aged 15+),Accès à l'Internet (% de la population âgée de 15 ans et plus)
OwnWSitTotFm,Percentage of firms of all sizes using their own website,Pourcentage d'entreprises de toutes tailles utilisant leur propre site Web
EmailLrgFm,Percentage of large firms using email to interact with clients/suppliers,Pourcentage de grandes entreprises utilisant le courrier électronique pour interagir avec leurs clients / fournisseurs
